Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0bBDTxFPjtuWAdqLLq55u1,"Mahboul Ana","Mahboul Ana","Lazaro",2024-07-15,185000,66,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:03:38Z,"","Chabaka",0.523,0.709,9,-9.403,1,0.0928,0.191,0.00000886,0.109,0.588,143.969,4
2fFTn0f94EopgZyfSGQuyK,"SPIDER","SPIDER","GIMS,DYSTINCT",2024-05-10,188818,76,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:05:58Z,"french hip hop,pop urbaine,r&b francais,rap conscient,belgian hip hop,rap belge","Play Two",0.823,0.691,9,-7.322,0,0.197,0.0774,0.00000173,0.1,0.707,119.96,4
5XF583kr3Eojotxl6SOKF0,"La","LAYALI","DYSTINCT",2023-06-08,148328,65,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:07:47Z,"belgian hip hop,rap belge","Avalon Music",0.898,0.467,10,-8.421,0,0.0636,0.184,0.00000963,0.068,0.851,120.007,4
2CgT7751h4Rply3vAkTYEk,"DIPLOMATICO","DIPLOMATICO","ElGrandeToto",2024-10-23,196697,63,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:09:04Z,"arabic hip hop,rap maroc","BNJ CITY BLOCK",0.832,0.573,4,-8.699,0,0.113,0.647,0.0009,0.115,0.456,109.992,4
1YwPNemawMgGe6sF4U0FTE,"Suavemente","Suavemente...Los Exitos","Elvis Crespo",2008-10-14,266306,62,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:11:30Z,"latin pop,salsa,tropical","Sony Music Latin",0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,4
6rPO02ozF3bM7NnOV4h6s2,"Despacito - Remix","Despacito Feat. Justin Bieber (Remix)","Luis Fonsi,Daddy Yankee,Justin Bieber",2017-04-17,228826,69,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:12:21Z,"latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino,canadian pop,pop","Republic/UMLE",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4
2GYHyAoLWpkxLVa4oYTVko,"Alors on danse - Radio Edit","Cheese","Stromae",2010-01-01,206066,75,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:15:05Z,"belgian pop,g-house","Universal Music Distributed Labels",0.79,0.593,1,-9.204,0,0.0776,0.0983,0.00202,0.065,0.72,119.958,4
1pKYYY0dkg23sQQXi0Q5zN,"Around the World","Homework","Daft Punk",1997-01-17,429533,70,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:15:13Z,"electro,filter house,rock","Daft Life Ltd./ADA France",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
7k4t7uLgtOxPwTpFmtJNTY,"Tusa","Tusa","KAROL G,Nicki Minaj",2019-11-07,200960,72,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:15:28Z,"reggaeton,reggaeton colombiano,urbano latino,hip pop,pop,queens hip hop,rap","TUSA - Karol G & Nicki Minaj",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4
0BGwzS5cqQ4i1griaN2PB1,"Un gaou à Oran - Bonus track","Cessa kié la vérité","Magic System,Mohamed Lamine",2006,209200,10,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:16:44Z,"afropop,french pop,zouglou,deep rai,rai,rif","Akwaba-JPS",0.573,0.977,6,-2.602,1,0.187,0.0241,0.00000162,0.619,0.909,127.964,4
3s6ltUrI93LBKU8taezsLn,"Magic in the Air (feat. Ahmed Chawki)","Africainement vôtre","Magic System,Chawki",2014-05-16,233693,67,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:16:51Z,"afropop,french pop,zouglou,moroccan pop","Parlophone (France)",0.621,0.907,2,-3.923,1,0.0474,0.091,0,0.067,0.884,128.056,4
75RPg4d3v0Tjh4qklTieTe,"Aicha","Rai","Khaled",2013-07-23,258706,47,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:17:05Z,"classic arab pop,moroccan pop,rai","X5 Music Group",0.5,0.584,7,-10.717,0,0.0966,0.0389,0.0000139,0.112,0.416,168.787,4
7MFWYTlrC81IGpb0Jwgdu7,"On va s'aimer","Liberté","Gilbert Montagné",2001-01-01,246826,58,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:18:16Z,"chanson,chanson paillarde,classic french pop,french pop","Universal Music Division Mercury Records",0.752,0.75,9,-6.969,0,0.0315,0.235,0,0.0997,0.876,131.394,4
26CWyxnjmUf6n4GKX1QVuw,"Les sunlights des tropiques","Liberté","Gilbert Montagné",2001-01-01,237466,55,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:19:28Z,"chanson,chanson paillarde,classic french pop,french pop","Universal Music Division Mercury Records",0.789,0.651,10,-6.841,1,0.0394,0.0997,0.00000108,0.0685,0.918,126.268,4
1Bhm5HNO1cq8olDbBmokyL,"Copines","NAKAMURA","Aya Nakamura",2018-11-02,171720,71,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:21:17Z,"basshall,pop urbaine,r&b francais","Rec. 118",0.701,0.787,8,-3.941,0,0.0855,0.27,0,0.105,0.904,180.027,4
7EMzOyDT87Uq9Hi08Mxe31,"Wayeh","Imad","THEODORT",2024-05-24,148786,70,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:23:39Z,"","BUDOKAI / ERRRO",0.766,0.677,8,-6.434,0,0.0384,0.152,0.00214,0.203,0.55,104.981,4
4CWcaGtaOyAqBDKIeZMUe0,"La kiffance","La kiffance","Naps",2021-02-26,179426,56,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:26:16Z,"french hip hop,pop urbaine,rap marseille","OK Many Industrie et 13ème art Music",0.806,0.637,6,-6.515,1,0.0881,0.232,0,0.071,0.674,140.053,4
205HNJ73cgpC0LAOnuQiWT,"Bande organisée","Bande organisée","Kofs,Soso Maness,Elams,Jul,SCH,Naps,Solda,Houari,13 Organisé",2020-08-15,356346,64,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:28:59Z,"french hip hop,pop urbaine,r&b francais,rap francais,rap marseille","Rien 100 Rien",0.901,0.939,6,-2.762,1,0.274,0.117,0,0.0643,0.805,142.948,4
1p3pNSpRB88Dn6w0DQGQXr,"Wouli Liya","Poison Ou Antidote","Dadju,KALY,Soolking,Aymane Serhani",2020-09-25,241400,48,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:30:12Z,"french hip hop,pop urbaine,r&b francais,rap algerien,moroccan pop,rai,rif","Universal Music Division Capitol Music France",0.557,0.718,4,-5.732,0,0.0511,0.239,0,0.234,0.536,94.88,4
7wwQoJtPLBVeMIZlW11cp6,"Oh qu'elle est belle","Décennie","Jul,DYSTINCT",2024-01-19,220013,66,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:31:33Z,"french hip hop,pop urbaine,rap marseille,belgian hip hop,rap belge","D'Or et de Platine",0.619,0.501,7,-8.228,0,0.174,0.662,0.000808,0.113,0.623,97.419,3
6bXd0YhKLCTvlLVc4tErH9,"Tchikita","L'ovni","Jul",2016-12-02,194867,57,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:33:21Z,"french hip hop,pop urbaine,rap marseille","D'Or et de Platine",0.95,0.666,4,-5.139,0,0.0792,0.73,0.00000244,0.0904,0.732,110.93,4
0QPlafvsnmTJBvGNek2cI8,"Ça fait des années","Vintage","Soolking,Cheb Mami",2020-03-19,235066,48,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:33:52Z,"french hip hop,pop urbaine,r&b francais,rap algerien,moroccan pop,rai,reggae maghreb","Universal Music Division Capitol Music France",0.775,0.782,10,-6.872,0,0.0877,0.491,0,0.0807,0.527,97.006,4
5ysyc9qSQ5YLGfFYJ9WWYa,"M'barka âla moulaha","Le Mariage Marocain Vol. 4","Ihssane",2015-04-14,190413,12,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T00:39:55Z,"","Fassiphone",0.588,0.741,2,-11.087,0,0.0369,0.0662,0,0.0565,0.913,77.977,4
2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,92,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T13:52:44Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
0yvcSDx1WMdxnUHhqG7PEh,"شوفو لامور مادار فيا","شوفو لامور مادار فيا","Bilel Tacchini",2023-12-09,186036,59,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T14:42:58Z,"rai","Indep",0.715,0.915,5,-3.91,0,0.0382,0.706,0,0.237,0.902,105.028,4
4CrRM6ncHqkGmIuMY4h7LS,"Kharboucha","Kharboucha","Dunia Batma",2023-07-13,433815,35,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T15:07:22Z,"arab pop,moroccan pop","Dounia Batma",0.407,0.892,2,-7.574,1,0.0939,0.0106,0,0.269,0.5,145.827,4
0jqUiExctgLt7bcghvD7Kw,"Makhelaw magalou","Makhelaw magalou","Manal",2022-06-30,180763,51,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T15:08:14Z,"arabic hip hop,moroccan pop,rap maroc","Bench & Guess Entertainment",0.587,0.576,5,-7.591,0,0.084,0.149,0,0.132,0.64,172.415,3
5qV1jHWF80Pe3jQHHFzIol,"9AD BIA","9AD BIA","Manal",2023-11-06,166228,41,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T15:08:44Z,"arabic hip hop,moroccan pop,rap maroc","Bench & Guess Entertainment",0.493,0.796,1,-7.347,0,0.365,0.255,0,0.195,0.558,119.894,4
05ysoVhSCvSj6GAEfNUtHF,"Niya","Niya","Manal",2020-10-30,202226,19,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T15:09:48Z,"arabic hip hop,moroccan pop,rap maroc","Bench & Guess Entertainment",0.639,0.534,2,-6.794,0,0.0554,0.087,0,0.315,0.509,90.081,3
1Asv77Jhpw1FA6YjA5wwuV,"NTA","NTA","Manal",2019-09-18,206254,37,myo20ysxpfrjcs3hesgkcs93f,2024-10-30T15:10:02Z,"arabic hip hop,moroccan pop,rap maroc","Sony Music Entertainment",0.568,0.695,5,-5.419,0,0.112,0.356,0.000013,0.132,0.45,103.449,4
